"1","A1001","北京市","朝阳区霄云路49号","2020-08-05 14:22:27"
"2","A1002","北京市","朝阳区霄云路50号","2020-08-05 14:22:27"
"3","A1003","北京市","朝阳区霄云路51号","2020-08-05 14:22:27"
"4","A1004","北京市","朝阳区霄云路76号","2020-08-05 14:22:27"
"5","A1005","北京市","朝阳区霄云路48号","2020-08-05 14:22:27"
"6","A1006","北京市","朝阳区霄云路31号","2020-08-05 14:22:27"
"7","A1007","北京市","朝阳区霄云路78号","2020-08-05 14:22:27"
"8","A1008","北京市","朝阳区霄云路1960号","2020-08-05 14:22:27"
"9","A1009","北京市","朝阳区霄云路54号","2020-08-05 14:22:27"
"10","A1010","北京市","朝阳区霄云路52号","2020-08-05 14:22:27"
"11","A1011","北京市","朝阳区霄云路99号","2020-08-05 14:22:27"
"12","A1012","北京市","朝阳区霄云路146号","2020-08-05 14:22:27"
"13","A1013","北京市","朝阳区霄云路442号","2020-08-05 14:22:27"
"14","A1014","北京市","朝阳区霄云路424号","2020-08-05 14:22:27"
"15","A1015","北京市","朝阳区霄云路842号","2020-08-05 14:22:27"
"16","A1016","北京市","朝阳区霄云路1042号","2020-08-05 14:22:27"
"17","A1017","北京市","朝阳区霄云路409号","2020-08-05 14:22:27"
"18","A1018","北京市","朝阳区霄云路740号","2020-08-05 14:22:27"
"19","A1019","北京市","朝阳区霄云路430号","2020-08-05 14:22:27"
"20","A1020","北京市","朝阳区霄云路400号","2020-08-05 14:22:27"
"21","A1021","北京市","朝阳区霄云路甲35号","2020-08-05 14:22:27"
"22","A1022","北京市","朝阳区霄云路乙35号","2020-08-05 14:22:27"
"23","A1023","北京市","朝阳区霄云路395号6-1","2020-08-05 14:22:27"
"24","A1024","北京市","朝阳区霄云路25号","2020-08-05 14:22:27"
"25","A1025","北京市","朝阳区霄云路125号","2020-08-05 14:22:27"
"26","A1026","北京市","朝阳区霄云路225号","2020-08-05 14:22:27"
"27","A1027","北京市","朝阳区霄云路329号","2020-08-05 14:22:27"
"28","A1028","北京市","朝阳区霄云路129号","2020-08-05 14:22:27"
"29","A1029","北京市","朝阳区霄云路229号","2020-08-05 14:22:27"
"30","A1030","北京市","朝阳区霄云路25乙102-103室","2020-08-05 14:22:27"
"31","A1031","北京市","朝阳区霄云路乙325号","2020-08-05 14:22:27"
"32","A1032","北京市","朝阳区霄云路乙625号","2020-08-05 14:22:27"
"33","A1033","北京市","朝阳区霄云路乙925号","2020-08-05 14:22:27"
"34","A1034","北京市","朝阳区霄云路乙1225号","2020-08-05 14:22:27"
"35","A1035","北京市","朝阳区霄云路30号院5号楼","2020-08-05 14:22:27"
"36","A1036","广东省广州市","越秀区中山一路24号","2020-08-05 14:22:27"
"37","A1037","广东省广州市","越秀区中山一路2211号","2020-08-05 14:22:27"
"38","A1038","广东省广州市","越秀区中山一路121号","2020-08-05 14:22:27"
"39","A1039","广东省广州市","越秀区中山一路23-25号","2020-08-05 14:22:27"
"40","A1040","广东省广州市","越秀区中山一路223-225号","2020-08-05 14:22:27"
"41","A1041","广东省广州市","越秀区泰兴直街64号二楼","2020-08-05 14:22:27"
"42","A1042","广东省广州市","越秀区泰兴直街164号二楼","2020-08-05 14:22:27"
"43","A1043","广东省广州市","越秀区泰兴直街264号二楼","2020-08-05 14:22:27"
"44","A1044","广东省广州市","越秀区中山一路17","2020-08-05 14:22:27"
"45","A1045","广东省广州市","越秀区中山一路117","2020-08-05 14:22:27"
"46","A1046","广东省广州市","越秀区中山一路217号707室","2020-08-05 14:22:27"
"47","A1047","广东省广州市","越秀区中山一路317号1707室","2020-08-05 14:22:27"
"48","A1048","广东省广州市","越秀区中山一路1017号","2020-08-05 14:22:27"
"49","A1049","广东省广州市","越秀区中山一路127号","2020-08-05 14:22:27"
"50","A1050","广东省广州市","越秀区中山一路177号","2020-08-05 14:22:27"
"51","A1051","广东省广州市","越秀区中山一路1907号","2020-08-05 14:22:27"
"52","A1052","广东省广州市","越秀区中山一路11","2020-08-05 14:22:27"
"53","A1053","广东省广州市","越秀区中山一路1101","2020-08-05 14:22:27"
"54","A1054","广东省广州市","越秀区中山一路111","2020-08-05 14:22:27"
"55","A1055","广东省广州市","越秀区中山一路1122","2020-08-05 14:22:27"
"56","A1056","广东省广州市","越秀区中山一路1132","2020-08-05 14:22:27"
"57","A1057","广东省广州市","越秀区中山一路1190","2020-08-05 14:22:27"
"58","A1058","广东省广州市","越秀区中山一路1号","2020-08-05 14:22:27"
"59","A1059","广东省广州市","越秀区中山一路12号","2020-08-05 14:22:27"
"60","A1060","广东省广州市","越秀区中山一路21号","2020-08-05 14:22:27"
"61","A1061","广东省广州市","越秀区中山一路19号","2020-08-05 14:22:27"
"62","A1062","广东省广州市","越秀区广州大道中165号","2020-08-05 14:22:27"
"63","A1063","广东省广州市","越秀区广州大道中265号","2020-08-05 14:22:27"
"64","A1064","广东省广州市","越秀区广州大道中365号","2020-08-05 14:22:27"
"65","A1065","广东省广州市","越秀区广州大道中465号","2020-08-05 14:22:27"
"66","A1066","广东省广州市","越秀区广州大道中565号","2020-08-05 14:22:27"
"67","A1067","广东省广州市","越秀区广州大道中1365号","2020-08-05 14:22:27"
"68","A1068","广东省广州市","越秀区广州大道中675号","2020-08-05 14:22:27"
"69","A1069","广东省广州市","越秀区广州大道中775号","2020-08-05 14:22:27"
